le,x,y,pol
23096,56,52,1
26299,59,77,1
24695,119,64,1
27825,49,89,1
9014,54,70,0
6818,34,53,0
3768,56,29,0
14325,117,111,0
10485,117,81,0
30071,119,106,1
22328,56,46,1
29102,46,99,1
24689,113,64,1
21394,18,39,1
21642,10,41,1
451,67,3,0
29038,110,98,1
6978,66,54,0
6594,66,51,0
25200,112,68,1
28591,47,95,1
22537,9,48,1
23028,116,51,1
18629,69,17,1
29100,44,99,1
11744,96,91,0
25874,18,74,1
9974,118,77,0
9266,50,72,0
26748,124,80,1
19395,67,23,1
8503,55,66,0
4165,69,32,0
27605,85,87,1
5671,39,44,0
20023,55,28,1
26104,120,75,1
20033,65,28,1
18821,5,19,1
11998,94,93,0
26480,112,78,1
26169,57,76,1
24178,114,60,1
21438,62,39,1
23870,62,58,1
29176,120,99,1
10904,24,85,0
20126,30,29,1
635,123,4,0
17787,123,10,1
13210,26,103,0
13050,122,101,0
26352,112,77,1
9008,48,70,0
27120,112,83,1
28202,42,92,1
30326,118,108,1
18064,16,13,1
11069,61,86,0
27998,94,90,1
30536,72,110,1
19130,58,21,1
2879,63,22,0
7488,64,58,0
26550,54,79,1
22793,9,50,1
10162,50,79,0
18011,91,12,1
1657,121,12,0
28807,7,97,1
27352,88,85,1
30182,102,107,1
13985,33,109,0
23434,10,55,1
7743,63,60,0
26224,112,76,1
23303,7,54,1
22772,116,49,1
4732,124,36,0
10460,92,81,0
11367,103,88,0
13367,55,104,0
19342,14,23,1
30070,118,106,1
11697,49,91,0
25167,79,68,1
11950,46,93,0
7489,65,58,0
2822,6,22,0
11052,44,86,0
24117,53,60,1
30686,94,111,1
25096,8,68,1
23350,54,54,1
22272,0,46,1
8438,118,65,0
25523,51,71,1
26157,45,76,1
13618,50,106,0
28152,120,91,1
23936,0,59,1
25327,111,69,1
29047,119,98,1
14050,98,109,0
28074,42,91,1
29144,88,99,1
29687,119,103,1
19344,16,23,1
24192,0,61,1
29944,120,105,1
11190,54,87,0
16446,62,0,1
28470,54,94,1
8119,55,63,0
12781,109,99,0
10393,25,81,0
7220,52,56,0
12400,112,96,0
5692,60,44,0
29295,111,100,1
29816,120,104,1
11056,48,86,0
6836,52,53,0
30646,54,111,1
16706,66,2,1
25262,46,69,1
27770,122,88,1
29381,69,101,1
12474,58,97,0
29257,73,100,1
23558,6,56,1
29111,55,99,1
27127,119,83,1
11737,89,91,0
20663,55,33,1
132,4,1,0
17405,125,7,1
11500,108,89,0
9888,32,77,0
9888,32,77,0
27888,112,89,1
17553,17,9,1
22456,56,47,1
19981,13,28,1
