le,x,y,pol
7034,122,54,0
6464,64,50,0
6738,82,52,0
1760,96,13,0
19632,48,25,1
6755,99,52,0
21037,45,36,1
6766,110,52,0
6072,56,47,0
761,121,5,0
6469,69,50,0
20782,46,34,1
20015,47,28,1
23546,122,55,1
23546,122,55,1
17970,50,12,1
17970,50,12,1
18428,124,15,1
6741,85,52,0
6207,63,48,0
18168,120,13,1
18103,55,13,1
18170,122,13,1
6884,100,53,0
6334,62,49,0
5832,72,45,0
16478,94,0,1
5952,64,46,0
1143,119,8,0
6073,57,47,0
18299,123,14,1
6631,103,51,0
6609,81,51,0
1144,120,8,0
18556,124,16,1
6200,56,48,0
6329,57,49,0
6329,57,49,0
6885,101,53,0
22374,102,46,1
6196,52,48,0
5938,50,46,0
6737,81,52,0
1346,66,10,0
2265,89,17,0
6201,57,48,0
6895,111,53,0
6882,98,53,0
6212,68,48,0
18045,125,12,1
7029,117,54,0
6071,55,47,0
6486,86,50,0
6488,88,50,0
6336,64,49,0
888,120,6,0
6736,80,52,0
6332,60,49,0
6758,102,52,0
6602,74,51,0
6063,47,47,0
18425,121,15,1
6353,81,49,0
6892,108,53,0
18298,122,14,1
7023,111,54,0
12925,125,100,0
20655,47,33,1
5691,59,44,0
22135,119,44,1
5719,87,44,0
6349,77,49,0
6462,62,50,0
6634,106,51,0
7036,124,54,0
7017,105,54,0
6211,67,48,0
6086,70,47,0
120,120,0,0
18300,124,14,1
1863,71,14,0
6222,78,48,0
19121,49,21,1
7164,124,55,0
5935,47,46,0
6475,75,50,0
6754,98,52,0
7159,119,55,0
16500,116,0,1
6194,50,48,0
7156,116,55,0
18226,50,14,1
6630,102,51,0
18352,48,15,1
18352,48,15,1
6751,95,52,0
19760,48,26,1
6077,61,47,0
7030,118,54,0
18609,49,17,1
6750,94,52,0
379,123,2,0
6193,49,48,0
16566,54,1,1
7015,103,54,0
6743,87,52,0
6616,88,51,0
6763,107,52,0
6355,83,49,0
6879,95,53,0
6896,112,53,0
6476,76,50,0
5827,67,45,0
6484,84,50,0
18554,122,16,1
18486,54,16,1
5686,54,44,0
23420,124,54,1
2231,55,17,0
6075,59,47,0
6611,83,51,0
6615,87,51,0
19509,53,24,1
18429,125,15,1
1016,120,7,0
6739,83,52,0
18557,125,16,1
2152,104,16,0
16506,122,0,1
6489,89,50,0
6348,76,49,0
22779,123,49,1
22779,123,49,1
7027,115,54,0
6471,71,50,0
5806,46,45,0
6350,78,49,0
6618,90,51,0
18865,49,19,1
6472,72,50,0
6339,67,49,0
18809,121,18,1
6202,58,48,0
22645,117,48,1
22583,55,48,1
6893,109,53,0
5036,44,39,0
7020,108,54,0
6324,52,49,0
19887,47,27,1
7013,101,54,0
7037,125,54,0
5826,66,45,0
20782,46,34,1
6066,50,47,0
6610,82,51,0
6481,81,50,0
6881,97,53,0
6479,79,50,0
6322,50,49,0
7158,118,55,0
6342,70,49,0
6613,85,51,0
18295,119,14,1
6596,68,51,0
506,122,3,0
6065,49,47,0
6734,78,52,0
6898,114,53,0
6333,61,49,0
7022,110,54,0
6460,60,50,0
18685,125,17,1
6746,90,52,0
6873,89,53,0
507,123,3,0
6345,73,49,0
21038,46,36,1
6742,86,52,0
19632,48,25,1
17399,119,7,1
5680,48,44,0
7035,123,54,0
5840,80,45,0
6378,106,49,0
18738,50,18,1
3905,65,30,0
17661,125,9,1
1258,106,9,0
17373,93,7,1
6617,89,51,0
20271,47,30,1
18419,115,15,1
6074,58,47,0
7161,121,55,0
6733,77,52,0
6220,76,48,0
16474,90,0,1
7034,122,54,0
6752,96,52,0
6485,85,50,0
22904,120,50,1
6492,92,50,0
25502,30,71,1
6609,81,51,0
6614,86,51,0
6469,69,50,0
6338,66,49,0
1209,57,9,0
761,121,5,0
7026,114,54,0
7162,122,55,0
6608,80,51,0
6482,82,50,0
6737,81,52,0
6200,56,48,0
6200,56,48,0
5717,85,44,0
7012,100,54,0
6195,51,48,0
16694,54,2,1
21421,45,39,1
18098,50,13,1
18098,50,13,1
6240,96,48,0
6327,55,49,0
6600,72,51,0
6598,70,51,0
6598,70,51,0
6756,100,52,0
22326,54,46,1
6905,121,53,0
16566,54,1,1
18170,122,13,1
23292,124,53,1
6070,54,47,0
6463,63,50,0
21293,45,38,1
6603,75,51,0
6876,92,53,0
18683,123,17,1
6064,48,47,0
6483,83,50,0
6214,70,48,0
7011,99,54,0
380,124,2,0
380,124,2,0
7018,106,54,0
23291,123,53,1
6198,54,48,0
6198,54,48,0
6732,76,52,0
7017,105,54,0
6471,71,50,0
6899,115,53,0
6592,64,51,0
7025,113,54,0
23215,47,53,1
19536,80,24,1
22386,114,46,1
6475,75,50,0
16561,49,1,1
6486,86,50,0
6593,65,51,0
16971,75,4,1
6193,49,48,0
7150,110,55,0
6892,108,53,0
6735,79,52,0
6332,60,49,0
6197,53,48,0
21294,46,38,1
18557,125,16,1
3804,92,29,0
20205,109,29,1
634,122,4,0
6476,76,50,0
6458,58,50,0
6226,82,48,0
7009,97,54,0
6739,83,52,0
379,123,2,0
16693,53,2,1
16565,53,1,1
6870,86,53,0
6870,86,53,0
7151,111,55,0
6604,76,51,0
6506,106,50,0
7293,125,56,0
17398,118,7,1
18301,125,14,1
1849,57,14,0
6470,70,50,0
21670,38,41,1
20399,47,31,1
7031,119,54,0
23089,49,52,1
7014,102,54,0
21038,46,36,1
23159,119,52,1
5948,60,46,0
6325,53,49,0
6889,105,53,0
6889,105,53,0
6369,97,49,0
6731,75,52,0
6731,75,52,0
2637,77,20,0
6209,65,48,0
6456,56,50,0
6761,105,52,0
23129,89,52,1
6893,109,53,0
20016,48,28,1
18425,121,15,1
6881,97,53,0
6503,103,50,0
17971,51,12,1
7292,124,56,0
6073,57,47,0
6073,57,47,0
6480,80,50,0
6203,59,48,0
6213,69,48,0
6213,69,48,0
7013,101,54,0
18553,121,16,1
18477,45,16,1
6452,52,50,0
6351,79,49,0
6472,72,50,0
6882,98,53,0
18737,49,18,1
19249,49,22,1
7158,118,55,0
16821,53,3,1
5938,50,46,0
6491,91,50,0
18424,120,15,1
18426,122,15,1
22908,124,50,1
6464,64,50,0
6202,58,48,0
6741,85,52,0
6474,74,50,0
6326,54,49,0
6498,98,50,0
6610,82,51,0
6907,123,53,0
6618,90,51,0
6878,94,53,0
6596,68,51,0
6596,68,51,0
18554,122,16,1
23094,54,52,1
22500,100,47,1
18555,123,16,1
18555,123,16,1
6481,81,50,0
507,123,3,0
6068,52,47,0
6204,60,48,0
6066,50,47,0
6609,81,51,0
6342,70,49,0
22779,123,49,1
6612,84,51,0
2134,86,16,0
892,124,6,0
6362,90,49,0
23541,117,55,1
6343,71,49,0
5937,49,46,0
6737,81,52,0
7149,109,55,0
6329,57,49,0
6897,113,53,0
18167,119,13,1
6091,75,47,0
6745,89,52,0
20271,47,30,1
6728,72,52,0
7026,114,54,0
6898,114,53,0
21933,45,43,1
7024,112,54,0
6855,71,53,0
16486,102,0,1
18296,120,14,1
6339,67,49,0
7154,114,55,0
6076,60,47,0
6330,58,49,0
6733,77,52,0
6733,77,52,0
23099,59,52,1
6883,99,53,0
6065,49,47,0
6065,49,47,0
6606,78,51,0
961,65,7,0
1503,95,11,0
6867,83,53,0
23546,122,55,1
6337,65,49,0
7035,123,54,0
6736,80,52,0
16621,109,1,1
16611,99,1,1
6595,67,51,0
7165,125,55,0
5936,48,46,0
6607,79,51,0
17621,85,9,1
23421,125,54,1
7018,106,54,0
6588,60,51,0
16442,58,0,1
16503,119,0,1
6587,59,51,0
21421,45,39,1
6876,92,53,0
7156,116,55,0
6195,51,48,0
1876,84,14,0
6224,80,48,0
20527,47,32,1
6732,76,52,0
6766,110,52,0
23138,98,52,1
23138,98,52,1
18172,124,13,1
18171,123,13,1
21166,46,37,1
16632,120,1,1
6886,102,53,0
6080,64,47,0
6335,63,49,0
1271,119,9,0
21038,46,36,1
21038,46,36,1
7021,109,54,0
6872,88,53,0
6905,121,53,0
6592,64,51,0
19504,48,24,1
16729,89,2,1
16750,110,2,1
16686,46,2,1
6098,82,47,0
18479,47,16,1
6193,49,48,0
7017,105,54,0
6605,77,51,0
21294,46,38,1
20399,47,31,1
6888,104,53,0
6336,64,49,0
18424,120,15,1
16820,52,3,1
6624,96,51,0
7009,97,54,0
23103,63,52,1
18683,123,17,1
5941,53,46,0
6775,119,52,0
23097,57,52,1
6878,94,53,0
6192,48,48,0
6331,59,49,0
18425,121,15,1
6726,70,52,0
6885,101,53,0
7010,98,54,0
6604,76,51,0
6611,83,51,0
6611,83,51,0
18671,111,17,1
23640,88,56,1
21944,56,43,1
23137,97,52,1
7020,108,54,0
7150,110,55,0
762,122,5,0
5935,47,46,0
1399,119,10,0
6879,95,53,0
18354,50,15,1
6754,98,52,0
9118,30,71,0
6597,69,51,0
6874,90,53,0
7151,111,55,0
18554,122,16,1
22645,117,48,1
6483,83,50,0
22854,70,50,1
22907,123,50,1
6521,121,50,0
7014,102,54,0
7014,102,54,0
6738,82,52,0
22642,114,48,1
23012,100,51,1
22966,54,51,1
23386,90,54,1
23370,74,54,1
253,125,1,0
6458,58,50,0
18482,50,16,1
16568,56,1,1
22905,121,50,1
7013,101,54,0
7016,104,54,0
6340,68,49,0
6340,68,49,0
6601,73,51,0
1527,119,11,0
17860,68,11,1
6893,109,53,0
6328,56,49,0
6585,57,51,0
6456,56,50,0
6731,75,52,0
7291,123,56,0
23036,124,51,1
22897,113,50,1
6338,66,49,0
21805,45,42,1
6480,80,50,0
16506,122,0,1
16437,53,0,1
